Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
36,84,66,4,0,54.54,6,caught,2,v Australia,Sydney,24 Feb 2008
DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Hobart,26 Feb 2008
15*,21,12,3,0,125.00,6,not out,2,v Australia,Sydney,2 Mar 2008
36,52,37,2,1,97.29,5,caught,1,v Australia,Brisbane,4 Mar 2008
24,23,23,5,0,104.34,6,lbw,1,v Pakistan,Mirpur,10 Jun 2008
DNB,-,-,-,-,-,-,-,2,v Bangladesh,Mirpur,12 Jun 2008
64,95,59,3,2,108.47,7,caught,2,v Pakistan,Mirpur,14 Jun 2008
109*,121,96,6,6,113.54,4,not out,1,v Hong Kong,Karachi,25 Jun 2008
26*,38,30,0,1,86.66,5,not out,2,v Pakistan,Karachi,26 Jun 2008
DNB,-,-,-,-,-,-,-,2,v Bangladesh,Karachi,28 Jun 2008
76,150,96,4,0,79.16,5,caught,1,v Pakistan,Karachi,2 Jul 2008
67,78,62,5,1,108.06,4,bowled,2,v Sri Lanka,Karachi,3 Jul 2008
49,104,74,4,0,66.21,5,caught,2,v Sri Lanka,Karachi,6 Jul 2008
6,30,28,0,0,21.42,6,caught,1,v Sri Lanka,Dambulla,18 Aug 2008
39,88,54,3,0,72.22,5,bowled,2,v Sri Lanka,Dambulla,20 Aug 2008
76,99,80,8,0,95.00,6,caught,1,v Sri Lanka,Colombo (RPS),24 Aug 2008
71,104,80,4,0,88.75,5,caught,1,v Sri Lanka,Colombo (RPS),27 Aug 2008
1,17,7,0,0,14.28,6,bowled,2,v Sri Lanka,Colombo (RPS),29 Aug 2008
39,46,32,3,1,121.87,6,bowled,1,v England,Rajkot,14 Nov 2008
15,31,26,1,0,57.69,6,bowled,1,v England,Indore,17 Nov 2008
29*,70,51,4,0,56.86,6,not out,2,v England,Kanpur,20 Nov 2008
9,5,5,0,1,180.00,5,bowled,1,v England,Bengaluru,23 Nov 2008
50,87,61,5,0,81.96,4,lbw,2,v England,Cuttack,26 Nov 2008
61*,85,65,5,0,93.84,5,not out,2,v Sri Lanka,Dambulla,28 Jan 2009
23,55,35,0,0,65.71,6,caught,1,v Sri Lanka,Colombo (RPS),31 Jan 2009
35*,70,45,1,0,77.77,5,not out,1,v Sri Lanka,Colombo (RPS),3 Feb 2009
94,140,96,4,2,97.91,3,caught,1,v Sri Lanka,Colombo (RPS),5 Feb 2009
53,85,58,1,2,91.37,6,caught,2,v Sri Lanka,Colombo (RPS),8 Feb 2009
84*,120,89,6,0,94.38,3,not out,1,v New Zealand,Napier,3 Mar 2009
